1-2-Diglycerides	a 1,2-diglyceride
AMINE-DEG	Amine and Polyamine Degradation
AMINOMETHYLDIHYDROLIPOYL-GCVH	a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-aminomethyldihydrolipoyl-L-lysine
ANAEROBIC-RESPIRATION	Anaerobic Respiration
ANTIBIOTIC-DEGRADATION	Antibiotic degradation
APO-CITRATE-LYASE	an <i>apo</i> [citrate-lyase acyl-carrier protein]
ARG-tRNAs	a tRNA<SUP>Arg</SUP>
ARGININE-DEG	L-arginine Degradation
ARGININE-SYN	L-arginine Biosynthesis
AROMATIC-COMPOUNDS-BIOSYN	Aromatic Compound Biosynthesis
AROMATIC-COMPOUNDS-DEGRADATION	Aromatic Compound Degradation
ASN-tRNAs	tRNA<SUP>Asn</SUP>
ASP-tRNAs	tRNA<SUP>asp</SUP>
ASPARAGINE-DEG	L-asparagine Degradation
ASPARAGINE-SYN	L-asparagine Biosynthesis
ASPARTATE-DEG	L-aspartate Degradation
ASPARTATE-SYN	L-aspartate Biosynthesis
ASPARTYL-ASX-TRNAS	an L-aspartyl-[tRNA<sup>Asx</sup>]
ASX-tRNAs	a tRNA<sup>Asx</sup>
AUXINS-DEGRADATION	Indole-3-acetate Degradation
AcDMPT-L-Alanyl-L-Alanyl-PhsC	<i>N</i>-acetyldemethylphosphinothricinyl-L-alanyl-L-alanyl-[PhsC non-ribosomal peptide synthase]
AcDMPT-L-Alanyl-PhsB	<i>N</i>-acetyldemethylphosphinothricinyl-L-alanyl-[PhsB non-ribosomal peptide synthase]
AcDMPT-PhsA	<i>N</i>-acetyldemethylphosphinothricinyl-[PhsA non-ribosomal peptide synthase]
AcPIM3	a 2-O-(6-O-acyl-&alpha;-D-mannosyl)-6-O-[&alpha;-D-mannosyl-(1&rarr;6)-&alpha;-D-mannosyl]-1-phosphatidyl-1D-myo-inositol
AcPIM4	a 2-O-(6-O-acyl-&alpha;-D-mannosyl)-6-O-[&alpha;-D-mannosyl-(1&rarr;6)-&alpha;-D-mannosyl-(1&rarr;6)-&alpha;-D-mannosyl]-1-phosphatidyl-1D-myo-inositol
AcPIM5	a 2-O-(6-O-acyl-&alpha;-D-mannosyl)-6-O-[&alpha;-D-mannosyl-(1&rarr;2)-&alpha;-D-mannosyl-(1&rarr;6)-&alpha;-D-mannosyl-(1&rarr;6)-&alpha;-D-mannosyl]-1-phosphatidyl-1D-myo-inositol
Acceptor	an oxidized unknown electron carrier
Acetaldehyde-Biosynthesis	Acetaldehyde Biosynthesis
Acetate-Formation	Fermentation to Acetate
Acetate-esters	an acetyl ester
Acetlylenic-Fatty-Acid-Biosynthesis	Fatty Acid Containing acetylenic bond Biosynthesis
Acetoacetyl-ACPs	an acetoacetyl-[acp]
Acetoin-Biosynthesis	Pyruvate Fermentation to Acetoin
Acetone-Degradation	Acetone Degradation
Acetyl-BryU-ACP	an acetyl-[BryU acyl-carrier protein]
Acetyl-CoA-Biosynthesis	Acetyl-CoA Biosynthesis
Acetyl-CoA-Butyrate	Fermentation to Butanoate
Acetyl-PedN-ACP	an acetyl-[PedN acyl-carrier protein]
Acetylated-Acetyl-Acceptors	an acetylated acetyl acceptor donor
Acetylated-S18-N-terminal-L-alanine	an N-terminal <i>N</i>-acetyl-L-alanyl-[S18 protein of 30S ribosome]
Acetylated-S5-N-terminal-L-alanine	an N-terminal <i>N</i>-acetyl-L-alanyl-[S5 protein of 30S ribosome]
Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis
Aci-Nitro-Compounds	an <i>aci</i>-nitro compound
Acid-Resistance	Acid Resistance
Acids	an acid
Aclacinomycins	an aclacinomycin
Activated-choline-trimethylamine-lyase	an activated [choline trimethylamine-lyase]
Activation	Activation
Active-FeFe-hydrogenase-Subunits	an active [FeFe] hydrogenase subunit
Acyl-Phosphates	an acyl phosphate
Acyl-SfmA	an acyl-[SfmA non-ribosomal peptide synthase]
Acyl-alanylglycinyl-SfmB	an acyl-L-alanyl-glycyl-[SfmB peptidyl-carrier-protein]
Acyl-homoserine-lactones	an <i>N</i>-acyl-L-homoserine lactone
Acyl-homoserines	an <i>N</i>-acyl-L-homoserine
Acyl-protein-synthetase	a [LuxE]-L-cysteine
Adenine-Adenosine-Salvage	Adenine and Adenosine Salvage
Adenine-Cytokinins	an adenine-type cytokinin
Adenosine-Nucleotides-Degradation	Adenosine Nucleotide Degradation
Adenosylcobamide	an adenosylcobamide
Adenosylcobamide-Biosynthesis	Adenosylcobamide Biosynthesis
Adenylated-ThiS-Proteins	a carboxy-adenylated-[ThiS sulfur-carrier protein]
Agarans	an agaran
Agaro-oligosaccharides	an agaro-oligosaccharide
Agaroses	an agarose
Ajmalan-MIAs	an ajmalan-type monoterpenoid indole alkaloid
Alcohol-Biosynthesis	Fermentation to Alcohols
Alcohol-Degradation	Alcohol Degradation
Alcohols	an alcohol
Aldehydes	an aldehyde
Alditol-phosphates	an alditol phosphate
Aldodioses	an aldodiose
Aldohexoses	an aldohexose
Aldonic-Acids	an aldonate
Aldonic-acid-phosphates	an aldonic acid phosphate
Aldoses	an aldose
Aldoxime	an aldoxime
Alginate-Biosynthesis	Alginate Biosynthesis
Aliphatic-Alpha-Omega-Diamines	an aliphatic &alpha;,&omega;-diamine
Aliphatic-Amides	an aliphatic amide
Aliphatic-Amines	an aliphatic amine
Aliphatic-Sulfonates	an aliphatic sulfonate
Aliphatic-aldehydes-or-ketones	an aliphatic aldehyde or ketone
Alk-2-enals	an alk-2-enal
Alkanes	an alkane
Alkanes-Biosynthesis	Alkane Biosynthesis
Alkanesulfonates	an alkylsulfonate
Alkene-Degradation	Alkene Degradation
Alkenes-Biosynthesis	Alkene Biosynthesis
Alkyl-Hydro-Peroxides	an organic hydroperoxide
Alkyl-Sulfinates	an <i>S</i>-alkylsulfinate
Alkylated-Bases	an alkylated nucleobase
Alkylated-DNAs	an alkylated DNA
Alkylphosphonates	an alkylphosphonate
All-Amines	an amine
All-Amino-Acids	an amino acid or its derivative
All-Carboxy-Acids	all carboxy acids
All-Coas	a coenzyme A-activated compound
All-Glutathiones	glutathione and derivatives
All-Nucleosides	a nucleic acid component
All-apo-ACPs	all <i>apo</i>-acyl carrier proteins
All-holo-ACPs	all <i>holo</i>-acyl carrier proteins
All-tRNAs	a tRNA
Allantoin-degradation	Allantoin Degradation
Alpha-1-3-Branched-Arabinans	an &alpha;(1,5)-L-arabinan with &alpha;(1,3) branching
Alpha-6-alpha-14-glucans	a (1,6)-&alpha;-D-glucosyl-(1,4)-&alpha;-glucan
Alpha-Allophycocyanins-PCB84	an [allophycocyanin &alpha;-subunit]-Cys<sup>84</sup>-phycocyanobilin
Alpha-Amino-Acids	an &alpha; amino acid
Alpha-D-Galactosides	an &alpha;-D-galactoside
Alpha-D-Glucuronides	an &alpha;-D-glucuronoside
Alpha-D-aldose-1-phosphates	an &alpha;-D-aldose 1-phosphate
Alpha-Hexose-1-Phosphates	an &alpha;-hexose 1-phosphate
Alpha-L-Arabinosides	an &alpha;-L-arabinoside
Alpha-L-Rhamnosides	an &alpha; L-rhamnoside
Alpha-Linolenate-Biosynthesis	&alpha;-Linolenate Biosynthesis
Alpha-R-phycocyanin-V-PUB	[R-phycocyanin V &alpha;-subunit]-Cys<sup>84</sup>-phycourobilin
Alpha-omega-dicarboxylates	an &alpha;,&omega;-dicarboxylate
Amides	an amide
Aminated-Amine-Donors	an aminated amino group donor
Amino-Acid-Derivatives	an amino acid derivative
Amino-Acids	an amino acid
Amino-Acids-20	a proteinogenic amino acid
Amino-Hydroxybenzoyl-ACP	3-amino-5-hydroxybenzoyl-[acyl-carrier protein]
Amino-Sugars	an amino sugar
Amino-acid-adenylates	an adenylated amino acid
Aminoacyl-tRNAs-Charging	Aminoacyl-tRNA Charging
Aminoalkylphosphinates	an aminoalkylphosphinate
Aminoalkylphosphonates	an (aminoalkyl)phosphonate
Aminoglycoside-Antibiotics	an aminoglycoside antibiotic
Aminomalonyl-PCP	an aminomalonyl-[L-seryl-carrier protein]
Aminopeptidase-Substrates	an aminopeptidase substrate
Aminopropanol-Phosphate-Biosynthesis	Aminopropanol Phosphate Biosynthesis
Ammonia-Assimilation	Ammonia Assimilation
Ammonia-oxidation	Ammonia Oxidation
Androgens	an androgen
Angucyclins	an angucyclin
Anhydromuropeptides-Recycling	Anhydromuropeptide Recycling
Ansatrienins	an ansatrienin
Anthracyclines	an anthracycline
Anthraquinones	an anthraquinone derivative
Antibiotic-Biosynthesis	Antibiotic Biosynthesis
Antibiotic-Resistance	Antibiotic Resistance
Antibiotics	an antibiotic
Antigen-Leb	a Lewis b epitope
Antigen-Ley	a Lewis y epitope
Apo-EntB	an <i>apo</i>-[EntB aryl-carrier protein]
Apo-EntF	an <i>apo</i>-[EntF L-seryl-carrier protein]
Apo-FeFe-hydrogenase-Subunits	an <i>apo</i>-[FeFe] hydrogenase subunit
Apo-alpha-Allophycocyanins	an <i>apo</i>-[allophycocyanin &alpha;-subunit]
Apo-alpha-C-phycoerythrins	an <i>apo</i>-[C-phycoerythrin &alpha;-subunit]
Apo-alpha-R-Phycocyanins-V	an <i>apo</i>-[R-phycocyanin V &alpha;-subunit]
Apo-beta-Allophycocyanins	an <i>apo</i>-[allophycocyanin &beta;-subunit]
Apo-beta-C-Phycocyanins	an <i>apo</i>-[C-phycocyanin &beta;-subunit]
Apo-beta-C-phycoerythrins	an <i>apo</i>-[C-phycoerythrin &beta;-subunit]
Apo-beta-Phycoerythrocyanins	an <i>apo</i>-[phycoerythrocyanin &beta;-subunit]
Apocarotenoids	an apocarotenoid
Arachidoyl-ACPs	an arachidoyl-[acp]
Arachidoyl-PpsAE	an arachidoyl-[(phenol)carboxyphthiodiolenone synthase]
Aralkylamines	an aralkylamine
Archaeal-Flagellins	an archaeal flagellin
Archaeal-Preflagellins	an archaeal preflagellin
Archaeal-dolichyl-phosphooligosaccharide	an archaeal dolichyl phosphooligosaccharide
Archeal-Dil-GlcNAc-P	an archaeal dolichyl <i>N</i>-acetyl-&alpha;-D-glucosaminyl phosphate
Archeal-Dolichol-P	an archeal dolichol phosphate
Aromatic-Acid	an aromatic carboxylate
Aromatic-Amino-Acids	an aromatic amino acid
Aromatic-D-Amino-Acids	an aromatic D-amino acid
Aromatic-L-Amino-Acids	an aromatic L-amino acid
Aromatic-Nitriles	an aromatic nitrile
Aromatic-Oxoacids	an aromatic 2-oxo-acid
Aromatic-amino-acid-esters	an ester of aromatic amino acids
Aromatics	an aromatic compound
Arsenate-Detoxification	Arsenate Detoxification
Aryl-Alcohols	an aryl alcohol
Aryl-Aldehyde	an aromatic aldehyde
Aryl-Amines	an arylamine
Aryl-Carrier-Proteins	an aryl-carrier protein
Aryl-Dialkyl-Phosphate	an aryl dialkyl phosphate
Aryl-sulfates	an aryl sulfate
Ascorbate-Biosynthesis	Ascorbate Biosynthesis
Ascorbate-Degradation	L-Ascorbate Degradation
Aspergilus-galactomannan-core	a galactofuranosemannan core (<i>Aspergillus</i>)
Assimilatory-Sulfate-Reduction	Assimilatory Sulfate Reduction
Atrazine-Degradation	Atrazine Degradation
Aurachin-Biosynthesis	Aurachin Biosynthesis
Aurachins	an aurachin
Aureolic-Acids	an aureolic acid
Autoinducer-Biosynthesis	Autoinducer Biosynthesis
Autotrophic-CO2-Fixation	Autotrophic CO<sub>2</sub> Fixation
Auxin-Biosynthesis	Auxin Biosynthesis
Auxins	an auxin
B-Gal-14-NacGlc-R	a type 2 histo-blood group antigen precursor disaccharide
B12-Corrinoid-Adenosyltranferase	adenosylcob(III)alamin-[corrinoid adenosyltranferase]
B12-Salvage-From-Cobinamide	Adenosylcobalamin Salvage from Cobinamide
BCCP-L-lysine	a [biotin carboxyl-carrier protein]-L-lysine
BCCP-biotin-L-lysine	a [biotin carboxyl-carrier protein]-<i>N</i><sup>6</sup>-biotinyl-L-lysine
BETA-ACETYLGLUCOSAMINIDE	an <i>N</i>-acetyl-&beta;-D-glucosaminyl-R
BETALAIN-ALKALOIDS	Betalaine Alkaloid Biosynthesis
Bacillus-Teichuronic-Peptidoglycan	a peptidoglycan-teichuronic acid complex (<i>B. subtilis</i> 168)
Bacteriochlorins	a bacteriochlorin
Bacteriochlorophyll-a	a bacteriochlorophyll <i>a</i>
Bacteriochlorophyllide-d	a bacteriochlorophyllide <i>d</i>
Bacteriochlorophyllide-f	a bacteriochlorophyllide <i>f</i>
Basic-Amino-Acids	a basic amino acid
Behenoyl-ACPs	a behenoyl-[acp]
Behenoyl-PpsAE	a behenoyl-[(phenol)carboxyphthiodiolenone synthase]
Benzenediols	a benzenediol
Benzoate-Biosynthesis	Benzoate Biosynthesis
Benzoate-Degradation	Benzoate Degradation
Benzoates	a benzoate
Benzoin	benzoin
Benzoyl-CoA-Degradation	Benzoyl-CoA Degradation
Beta-3-hydroxybutyryl-ACPs	a (<i>3R</i>)-3-hydroxybutanoyl-[acp]
Beta-Alanine-Biosynthesis	&beta; Alanine Biosynthesis
Beta-Allophycocyanins-PCB84	an [allophycocyanin &beta;-subunit]-Cys<sup>84</sup>-phycocyanobilin
Beta-C-phycocyanin-PCB82	a [C-phycocyanin &beta;-subunit]-Cys<sup>82</sup>-phycocyanobilin
Beta-D-Fructofuranosides	a &beta;-D-fructofuranoside
Beta-D-Galactosides	a &beta;-D-galactoside
Beta-D-glucosides	a &beta;-D glucoside
Beta-Lactams	a &beta;-lactam
Beta-OH-Tyr-S-NovH	(R)-&beta;-hydroxy-L-tyrosine-<i>S</i>-[NovH protein]
Beta-Phycoerythrocyanins-PCB84	a [phycoerythrocyanin &beta;-subunit]-Cys<sup>84</sup>-phycocyanobilin
Beta-amino-acids	a &beta; amino acid
Beta-hydroxy-Trp-Tryptophanyl-CP	an (S)-&beta;-hydroxy-L-tryptophyl-[L-tryptophyl-carrier protein]
Beta-hydroxydecanoyl-ACPs	a (3<i>R</i>)-3-hydroxydecanoyl-[acp]
Betaine-Biosynthesis	Betaine Biosynthesis
Bile-Acids-Degradation	Bile Acid Degradation
Bile-acids	a bile acid
Bilins	a bilin
Bioluminescence	Bioluminescence
Biosynthesis	Biosynthesis
Biotinylated-MadF-Proteins	[a biotinylated MadF protein]
Bmp1-L-proline	an L-prolyl-[Bmp1 prolyl-carrier protein]
Bmp1-pyrrole-2-carboxylate	a 1<i>H</i>-pyrrole-2-carbonyl-[Bmp1 prolyl-carrier protein]
Bmp1-tribromopyrrole-2-carboxylate	a 3,4,5-tribromo-1<i>H</i>-pyrrole-2-carbonyl-[Bmp1 prolyl-carrier protein]
Branched-Amino-Acids	a branched-chain amino acid
Branched-L-arabinans	an &alpha;(1,5)-L-arabinan with &alpha;(1,2) and &alpha;(1,3) branching
Branched-Nonanoyl-BryA-PKS	a (3E,5S,7R,8R)-5,7,8-trihydroxy-3-(2-methoxy-2-oxoethylidene)nonanoyl-[BryA polyketide synthase]
Branched-Unphos-Amylopectin-Tails	an exposed unphosphorylated, (&alpha;-1,6)-branched malto-oligosaccharide tail on amylopectin
Bromide	an organobromine compound
Bromoaromtic-Compounds	a bromoaromatic compound
BryA-PKS	a <i>holo</i> [BryA polyketide synthase]
BryB-PKS	a <i>holo</i> [BryB polyketide synthase]
BryC-PKS	a <i>holo</i> [BryC polyketide synthase]
BryD-PKS	a <i>holo</i> [BryD polyketide synthase]
BryP-ACP	a <i>holo</i> [BryP acyl-carrier protein]
BryU-ACP	a <i>holo</i> [BryU acyl-carrier protein]
BtrI-Acyl-Carrier-Proteins	a BtrI [glutamyl-carrier protein]
Butanediol-Biosynthesis	Butanediol Biosynthesis
Butanoyl-ACPs	a butanoyl-[acp]
Butirosins	a butirosin
C-Methylated-Amino-Acids	a <i>C</i>-methylated amino acid
C-nitro-compounds	a C-nitro compound
C-terminal-32-aminoacid-Peptides	a C terminal 32 amino-acid peptide
C1-COMPOUNDS	C1 Compound Utilization and Assimilation
C21-Steroids	a C<sub>21</sub>-steroid
C30-Carotenoids-Biosynthesis	C<sub>30</sub> Carotenoid Biosynthesis
C30-mycocerosyl-MAS	C30-mycocerosyl-[mycocerosic acid synthase]
C34-carboxyphthiodiolenone-PpsAE	a C34-carboxyphthiodiolenone-[(phenol)carboxyphthiodiolenone synthase]
C37-hydroxyphthioceranyl-PKS2	a C37-hydroxyphthioceranyl-[(hydroxy)phthioceranic acid synthase]
C37-phenolcarboxyphthiodiolenone-PpsAE	a C37-phenolcarboxyphthiodiolenone-[(phenol)carboxyphthiodiolenone synthase]
C4-dicarboxylates	a C4-dicarboxylate
C40-Carotenoids-Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis
C50-Carotenoids-Biosynthesis	C<sub>50</sub> Carotenoid Biosynthesis
C9-Reduced-Nonaketamide-OxyC	C9-reduced nonaketamide-[OxyC acyl-carrier protein]
CAFFEATE	caffeate
CAFFEINE	Caffeine Degradation
CARBO-BIOSYNTHESIS	Sugar Biosynthesis
CARBOXYLATES-DEG	Carboxylate Degradation
CARDIOLIPIN	a cardiolipin
CARN-DEG	Carnitine Degradation
CD-2S-SP-Complex	a [cysteine desulfurase]-(<i>S</i>-sulfanyl)<sub>2</sub>-[disordered-form scaffold protein] complex
CD-S-SP-Complex	a [cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex
CDP-2-3-4-Saturated-Diacylglycerols	a CDP-2,3,4-saturated-diacylglycerol
CDP-SUGARS	a CDP-sugar
CDP-Sugar-Biosynthesis	CDP-sugar Biosynthesis
CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol Biosynthesis
CDPDIACYLGLYCEROL	a CDP-diacylglycerol
CELLULOSE	cellulose
CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Chemoautotrophic Energy Metabolism
CHITIN	chitin
CHITOBIOSE	<i>N</i>,<i>N'</i>-diacetylchitobiose
CHLORINATED-COMPOUNDS-DEG	Chlorinated Compound Degradation
CINNAMATE-SYN	Cinnamate Biosynthesis
CIS-DELTA3-ENOYL-COA	a (3Z)-alk-3-enoyl-CoA
CIS-TRANS-POLYISOPRENYL-P	a <i>cis,trans</i>-isoprenoid phosphate
CIS-TRANS-POLYISOPRENYL-PP	a <i>cis,trans</i>-polyisoprenyl diphosphate
CITRATE-LYASE	an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein]
CMP-KDO-Biosynthesis	CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis
CMP-Legionaminate-Biosynthesis	CMP-legionaminate biosynthesis
CMP-N-Acetylneuraminate-Biosynthesis	CMP-<i>N</i>-acetylneuraminate Biosynthesis
CMP-SUGARS	a CMP-sugar
CMP-Sugar-Biosynthesis	CMP-sugar Biosynthesis
CO2-Fixation	CO<sub>2</sub> Fixation
COFACTOR-DEGRADATION	Cofactor, Prosthetic Group, Electron Carrier Degradation
COUMARIN-SYN	Coumarin Biosynthesis
CPD-10071	(5R)-6-hydroxy-5-isopropenyl-2-methylhexanoate
CPD-10072	(5S)-6-hydroxy-5-isopropenyl-2-methylhexanoate
CPD-10247	6-sulfo-D-quinovose
CPD-10414	a (2<i>R</i>,3<i>R</i>)-flavan-3-ol
CPD-10572	a fluorobenzoate
CPD-10734	3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-non-2-ulopyranosonate
CPD-1084	perillyl aldehyde
CPD-1109	an <i>N</i>-acyl-D-mannosamine
CPD-11244	an unsaturated pectate oligosaccharide
CPD-11452	a myxoxanthophyll
CPD-11473	astaxanthin
CPD-11501	a vitamin K
CPD-11620	(<i>R,S</i>)-piperidine-2-carboxamide
CPD-11633	(<i>R,S</i>)-piperazine-2-carboxamide
CPD-11657	a (6-4) photoproduct (in DNA)
CPD-11803	(<i>RS</i>)-phospho-3-sulfolactate
CPD-11926	an oligomycin
CPD-11951	a 2,3-dihydroxybenzoyl-[VibB]
CPD-12274	<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;4)-D-glucosamine
CPD-12443	perillate
CPD-12548	UDP-D-xylose
CPD-12642	a 3-oxoacid
CPD-12980	an oligosaccharide with 4-deoxy-6-O-methyl-&alpha;-D-galact-4-enuronate end
CPD-12981	a 4-deoxy-&alpha;-L-<i>erythro</i>-hex-4-enopyranuronoside
CPD-12985	4-deoxy-&alpha;-L-<i>threo</i>-hex-4-enopyranoside
CPD-13746	&beta;-1,4-D-mannobiose
CPD-13838	[&beta;-D-GlcA-(1&rarr;4)-2-<i>O</i>-Ac-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-[3-<i>O</i>-3-O-(CH3CH(OH)CH<sub>2</sub>C(O))-4,6-CH3(COO-)C-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;6)]-2(or3)-<i>O</i>-Ac-&alpha;-D-Glc-(1&rarr;6)]<sub>n</sub>
CPD-13840	[&beta;-D-GlcA-(1&rarr;4)-2-<i>O</i>-Ac-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-[3-<i>O</i>-3-O-(CH3CH(OH)CH<sub>2</sub>C(O))-4,6-CH3(COO-)C-&beta;-D-Gal-1&rarr;3)-4,6-CH<sub>3</sub>(COO-)C-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;4)-&beta;-D-Glc-(1&rarr;6)]-2(or3)-<i>O</i>-Ac-&alpha;-D-Glc-(1&rarr;6)]<sub>n</sub>
CPD-14020	dTDP-4-amino-4,6-dideoxy-D-galactose
CPD-14356	2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetyl-[PKS-acp]
CPD-14357	2-oxo-2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetyl-[PKS-acp]
CPD-14358	(2S)-2-hydroxy-2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetyl-[PKS-acp]
CPD-14549	UDP-<i>N</i>-acetyl-D-glucosamine
CPD-15015	4-hydroxy-2-oxoglutarate
CPD-15317	D-ribofuranose 5-phosphate
CPD-15479	a mycothiol <i>S</i>-conjugate
CPD-15660	3-hydroxypentanoyl-CoA
CPD-15694	3-hydroxy-decanoyl-CoA
CPD-15709	<i>keto</i>-D-fructose 6-phosphate
CPD-15846	malyl-CoA
CPD-15867	L-lyxopyranose
CPD-15877	fluvastatin
CPD-15972	lactose
CPD-15973	lactose 6'-phosphate
CPD-15975	D-cellobiose
CPD-15978	D-cellobiose 6'-phosphate
CPD-15979	D-mannopyranose 6-phosphate
CPD-15990	trehalose
CPD-15991	D-trehalose 6-phosphate
CPD-160	a phosphatidyl-<i>N</i>-dimethylethanolamine
CPD-16184	&beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-D-galactosamine
CPD-16398	an <i>E. coli</i> osmoregulated periplasmic glucan (OPG)
CPD-16400	an osmoregulated periplasmic glucan with phosphoglycerol substituent
CPD-16401	an <i>E. coli</i> osmoregulated periplasmic glucan with phosphotidylethanolamine substituent
CPD-16567	L-rhamnulofuranose
CPD-16569	kojibiose
CPD-16758	2/3-phospho-D-glycerate
CPD-16987	a (3<i>R</i>,4<i>E</i>)-3-hydroxy-2-keto-alk-4-ene
CPD-171	a dolichyl &beta;-D-mannosyl phosphate
CPD-17449	a [protein]-2-aminoprop-2-enoate
CPD-17583	a peptidoglycan pentapeptide
CPD-177	a 1-phosphatidyl-1D-myo-inositol 3-phosphate
CPD-17767	a 2,3-bis-(<i>O</i>-geranylgeranyl)-<i>sn</i>-glycero-phospholipid
CPD-17768	a 2,3-bis-(<i>O</i>-phytanyl)-<i>sn</i>-glycero-phospholipid
CPD-17926	a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine) tetrapeptide
CPD-17927	a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide
CPD-17931	a peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine) tetrapeptide
CPD-18232	an archaeal dolichyl 3-O-(2,3-diacetamido-2,3-dideoxy-&beta;-D-glucuronsyl)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl phosphate
CPD-18252	an acyl-D-asparagine
CPD-18314	<i>N</i>-3-epoxysuccinamoyl-(S)-2,3-diaminopropanoate
CPD-18565	a 2-(long-chain fatty acyl)-3-mycolipenoyl-trehalose
CPD-18567	a 2-(long-chain fatty acyl)-2',3,4',6-tetramycolipenoyl-trehalose
CPD-18579	PGL-tb
CPD-18612	a dimycocerosyl phthiocerol
CPD-18651	a dimycocerosyl phthiodiolone
CPD-18669	a dimycocerosyl phenolphthiocerol
CPD-18679	mycoside B
CPD-18680	an (&alpha;-L-rhamnopyranosyl) dimycocerosyl phenol-phthiocerol
CPD-18681	an [&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol
CPD-18682	an [&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol
CPD-18683	a [2-<i>O</i>-methyl-&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol
CPD-18684	a [2,4-di-<i>O</i>-methyl-&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol
CPD-18702	a 2-(long-chain-fatty acyl)-trehalose
CPD-18714	a 3'-(hydroxy)phthioceranyl-2'-palmitoyl(stearoyl)-2-<i>O</i>-sulfo-&alpha;,&alpha;-trehalose
CPD-18715	2'-palmitoyl/stearoyl-2-<i>O</i>-sulfo-&alpha;,&alpha;-trehalose
CPD-18716	a mycobacterial sulfolipid
CPD-18717	3-sulfolactaldehyde
CPD-18719	D-fructofuranose 6-phosphate
CPD-18804	a mature peptidoglycan (<i>meso</i>-diaminopimelate containing)
CPD-18866	a 3-(1-hydroxyethyl) chlorophyllide <i>d</i>
CPD-18867	a bacteriochlorophyllide <i>c</i>
CPD-18899	a chlorophyll <i>a</i>
CPD-189	a CMP-<i>N</i>-acyl-neuraminate
CPD-18909	&beta;-1,2-D-mannobiose
CPD-18966	dehydrodiconiferyl alcohol
CPD-18967	dehydrodiconiferyl aldehyde
CPD-18968	dehydrodiconiferyl acid
CPD-18969	dehydrodiconiferyl acid ketone
CPD-18970	dehydrodiconiferyl acid carboxylate
CPD-18980	a thiomarinol
CPD-19186	an <i>O</i><sup>4</sup>-methylthymine in DNA
CPD-19303	(Rib-ol-P)<sub>n</sub>-(Rib-ol)-P-Gro-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol
CPD-19304	[(2-GlcNAc)-Rib-ol-P]n-Gro-P-Gro-P-ManNAc-GlcNAc-PP-peptidoglycan
CPD-19305	polyisoprenyl-poly(ribitol phosphate) teichoic acid (S. aureus)
CPD-19308	(Rib-ol-P)<sub>n</sub>-Rib-ol-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol
CPD-19309	(2-Glc-Rib-ol)<sub>n</sub>-Rib-ol-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol
CPD-19310	polyisoprenyl-wall teichoic acid (<i>B. subtilis</i> W23)
